,Artist,Song,Lyrics
0,Lizzo,Truth Hurts,"Why men great 'til they gotta be great?
Woo!

I just took a DNA test, turns out I'm 100% that bitch
Even when I'm crying crazy
Yeah, I got boy problems, that's the human in me
Bling bling, then I solve 'em, that's the goddess in me
You coulda had a bad bitch, non-committal
Help you with your career just a little
You're 'posed to hold me down, but you're holding me back
And that's the sound of me not calling you back

Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

You tried to break my heart?
Oh, that breaks my heart
That you thought you ever had it
No, you ain't from the start
Hey, I'm glad you're back with your bitch
I mean, who would wanna hide this?
I will never, ever, ever, ever, ever be your side chick
I put the sing in single
Ain't worried 'bout a ring on my finger
So you can tell your friend, ""Shoot your shot"" when you see him
It's okay, he already in my DMs
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay
I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay (Woo)

Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)
With the bomb lighting
Minnesota Vikings
"
1,Lizzo,Juice,"Mirror, mirror on the wall
Don't say it ’cause I know I'm cute (Ooh, baby)
Louis down to my drawers
LV all on my shoes (Ooh, baby)
I be drippin' so much sauce
Got a bih lookin’ like RAGÚ (Ooh, baby)
Lit up like a crystal ball
That's cool, baby, so is you
That's how I roll

If I'm shinin', everybody gonna shine (Yeah, I'm goals)
I was born like this, don't even gotta try (Now you know)
I'm like chardonnay, get better over time (So you know)
Heard you say I’m not the baddest, bitch, you lie (Haha)

It ain’t my fault that I'm out here gettin’ loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I’m the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (Ooh, baby)
No, I'm not a snack at all
Look, baby, I'm the whole damn meal (Ooh, baby)
David, you ain't bein' slick
Don't dare try to cop a feel (Ooh, baby)
The juice ain't worth the squeeze
If the juice don't look like this (Like this, like this, like this)
Hold up, nigga, please
Don't make me have to take your bitch, shit (How I roll)

If I'm shinin', everybody gonna shine (Yeah, I'm goals)
I was born like this, don't even gotta try (Now you know)
I'm like chardonnay (Okay), get better over time (So you know)
Heard you say I'm not the baddest, bitch, you lie (You lie)

It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (Alright)
Ya-ya-ee
Somebody come get this man
I think he got lost in my DMs, what? My DMs, what?
You better come get your man
I think he wanna be way more than friends, what?
More than friends
What you want me to say?

It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof (Puddin' in the proof)
Gotta blame it on my juice (Blame it on my juice)
Ya-ya-ee (Yay-ya), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
"
2,Lizzo,Good as Hell,"I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)

Woo, child, tired of the bullshit
Go on, dust your shoulders off, keep it moving
Yes, Lord, tryna get some new shit
In there, swimwear, going-to-the-pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard, but you have to try
If you need advice, let me simplify

If he don't love you anymore
Just walk your fine ass out the door

I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
(Feeling good as hell)
Baby, how you feelin'? (Feelin' good as hell)
Woo, girl, need to kick off your shoes
Gotta take a deep breath, time to focus on you
All the big fights, long nights that you been through
I got a bottle of tequila I been saving for you
Boss up and change your life
You can have it all, no sacrifice
I know he did you wrong, we can make it right
So go and let it all hang out tonight

'Cause he don't love you anymore
So walk your fine ass out the door

And do your hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (And we gon' be alright)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)

Mmm, yeah, alright
Listen, if he don't love you anymore
Then walk your fine ass out the door
And do your hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Woo-hoo)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell) (And we gon' make it right)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
(Feelin' good as hell)
"
3,Lizzo,Boys,"Ayy, boy, whatcha say, boy?
You tryna play coy like a Gameboy?
Hit my phone boy, is you home boy?
Are you alone boy? Come give me dome, boy
Got a boy with degrees, a boy in the streets
A boy on his knees, he a man in the sheets
Sheesh, it's all Greek to me
Got this boy speaking Spanish, ay, papi

Baby, I don't need you
I just wanna freak you
I heard you a freak too
What's two plus two? (Four, three, two, ow)

Boys, boys, boys
Make a girl go crazy (Four, three, two, ow)
Boys, boys, boys
Make a girl go crazy (Four, three)

I like big boys, itty bitty boys
Mississippi boys, inner city boys
I like the pretty boys with the bow tie
Get your nails did, let it blow dry
I like a big beard, I like a clean face
I don't discriminate, come and get a taste
From the playboys to the gay boys
Go and slay, boys, you my fave boys
Baby, I don't need you (I don't need)
I just wanna freak you (Want, I want it bad)
I heard you a freak too (That's right)
What's two plus two? (Four, three, two, ow)

Boys, boys, boys
Make a girl go crazy (Four, three, two, ow)
Boys, boys, boys
Make a girl go crazy (Four, three, two, ow)

Four, three, two, ow (Woo)
Boys, boys, boys
Make a girl go crazy (Four, three, two, ow, done lost your mind)
Boys, boys, boys
"
4,Lizzo,Tempo,"I've been waitin' for this one
Turn it up

Slow songs, they for skinny hoes
Can't move all of this here to one of those
I'm a thick bitch, I need tempo (Tempo)
Fuck it up to the tempo

Pitty-pat, pitty-pat, pitty-pitty-pat (Pat)
Look at my ass, it's fitty-fitty-fat (Fat)
Kitty cat, kitty cat, kitty-kitty cat (Cat)
Prrr me a glass, boy, I like my water wet (Wet)
Throw it back (Throw it back, threw it back)
Catch that (Catch that, catch that)
I need a jack (Woo)
For all of this ass, but it won't go flat (Wait a minute)
Baby, baby (Baby)
Come eat some of this cakey (Cake)
He look like he could gain a little weight (A little weight)
Lick the icing off, put the rest in your face (Face)

Slow songs, they for skinny hoes
Can't move all of this here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo (Tempo)
Fuck it up, fuck it up
Boyfriend watchin', oh now he wanna knuckle up
Get on this ride, baby, you gon' have to buckle up
Thick thighs save lives, call me little buttercup
All means necessary (Ayy)
My ass is not an accessorary (What?)
Yeah, I said it, accessorary (What?)
Twerk skills up on legendary

Slow songs, they for skinny hoes
Can't move all of this here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo (Missy)

Let's go (Let's go), let's go (Let's go)
All the fly girls head to the dance floor
Kitty cat, kitty cat, prrr
All the thick girls down on the flrrr (On the floor)
Ice on my neck like brrr (Like brrr)
I'm big-boned with nice curves (Nice curves)
Look at me, I know I look grrrd (Good)
Look good, look good, look grrrd (Look good)
I'ma show y'all chicks how to drrr it
Your nigga, he wish he could
Thick girl (Thick girl), split (Split)
Get a bag (Get a bag), get rich (Get rich)
Hair done (Hair done), fixed (Fixed)
If you see a hater, tell him quit (Stop)
Get your own dough (Own dough)
Get your bread, own dough (Own dough)
Go on, ladies, head to the floor (Floor)
Fuck up the tempo, thick girls get low (Woo)
Slow songs, they for skinny hoes
Can't move all of this here to one of those (Hey)
I'm a thick bitch, I need tempo (Need it)
Fuck it up to the tempo
Fuck it up to the tempo
Fuck it up to the tempo
Slow songs, they for skinny hoes
Fuck it up to the tempo

"
5,Lizzo,Cuz I Love You,"I'm cryin’ 'cause I love you, oh
(Ya ya ya, ya ya, ya ya)

Never been in love before
What the fuck are fucking feelings, yo?
Once upon a time, I was a ho
I don't even wanna ho no mo’
Got you something from the liquor store
Little bit of Lizzo and some Mo
Tryna open up a little mo'
Sorry if my heart a little slow

I thought that I didn't care
I thought I was love-impaired
But baby, baby
I don't know what I'm gon' do
I'm cryin' ’cause I love you, oh
Yes, you (Ya ya, ya ya)

Got me standing in the rain
Gotta get my hair pressed again
I would do it for you all, my friend
Ready, baby? Will you be my man?
Wanna put you on a plane
Fly you out to wherever I am
Catch you on the low, I was ashamed
Now I’m crazy, 'bout to tat your name
I thought that I didn’t care
I thought I was love-impaired
But baby, oh baby
I don't know what I'm gon' do
I’m cryin' 'cause I love you, yeah
I'm cryin', hey

I thought that I didn't care
I thought I was love-impaired
But baby, baby
I don't know what I'm gon' do
I'm cryin' 'cause I love you
Oh yes, you

I'm cryin', I'm cryin', I'm cryin', oh
"
6,Lizzo,Like a Girl,"Uh (Go)

Woke up feelin' like I just might run for President
Even if there ain't no precedent, switchin' up the messaging
I'm about to add a little estrogen
Buy my whip by myself, pay my rent by myself
Only exes that I care about are in my fucking chromosomes
I don't really need you, I'm Macaulay Culkin, home alone
Bad bitch, diamonds in my collarbone (Yee, yee)
Buy my whip by myself, pay my rent by myself

Sugar, spice, and I'm nice
Show me what you're made of
Crazy, sexy, cool, baby
With or without makeup
Got nothing to prove (Got nothing to prove)
But I'ma show you how I do

Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
Go and throw it (Like a girl)
Hangin' out the 750, feelin' bossy in my city
'Cause I run it (Like a girl)
Run it, run it (Like a girl)
I work my femininity
I make these boys get on their knees
Now watch me do it, watch me do it
Look it, look it, I'ma do it
Like a girl (Like a girl)
Like a girl (Like a girl)
Chaka Kahn, ""Through the Fire,"" light the kerosene (We can do it)
Lauryn Hill told me everything is everything (We can do it)
Serena Willy showed me I can win the Wimbledon (We can do it)
Uh, put me on a pedestal, bet on me, bet I will

Sugar, spice, and I'm nice
Show me what you're made of
Crazy, sexy, cool, baby
With or without makeup
Got nothing to prove (Got nothing to prove)
But I'ma show you how I do (But I'ma show you how I do)

Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
Go and throw it (Like a girl)
Hangin' out the 750, feelin' bossy in my city
'Cause I run it (Like a girl)
Run it, run it (Like a girl)
I work my femininity
I make these boys get on their knees
Now watch me do it, watch me do it
Look it, look it, I'mma do it
Like a girl (Like a girl)
Like a girl (Like a girl)
Look, so if you fight like a girl, cry like a girl
Do your thing, run the whole damn world
If you feel like a girl, then you real like a girl
Do your thing, run the whole damn world
If you fight like a girl, cry like a girl
Do your thing, run the whole damn world
If you feel like a girl, then you real like a girl
Do your thing, run the whole damn world

Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
(Yeah, yeah, yeah, yeah, yeah, yeah)
Go and throw it (Like a girl)
Hangin' out the 750 (Hangin' out the 750, baby)
Feelin' bossy in my city
'Cause I run it (Like a girl) (Yeah, I run it like a girl)
Run it, run it (Like a girl)
I work my femininity (Yeah, I work it baby)
I make these boys get on their knees (Get on your knees, yeah)
Now watch me do it, watch me do it
Look it, look it, I'ma do it (Watch me do it)
Like a girl (Like a girl)
Like a girl (Like a girl, yeah)
"
7,Lizzo,Good as Hell (Remix),"I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)

Woo, child, tired of the bullshit
Go on, dust your shoulders off, keep it moving
Yes, Lord, tryna get some new shit
In there, swimwear, going-to-the-pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard but you have to try
If you need advice, let me simplify

If he don't love you anymore
Just walk your fine ass out the door

I do my hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails
Baby, how you feelin'? (Feelin' good as hell)
(Feeling good as hell)
Baby, how you feelin'? (Feelin' good as hell)
Woo, girl, need to kick off your shoes
Gotta take a deep breath, time to focus on you
All the big fights, long nights that you been through
I got a bottle of tequila I been saving for you (Thank god)
'Cause he better know my worth
There's so much that I deserve
But I ain't worried now, I'ma let my hair down
He been tryin' it, but not today

So girl, if he don't love you anymore
Then walk your fine ass out the door

And do your hair toss, check my nails (Ah)
Baby, how you feelin'? (Feelin' good as hell)
Hair toss, check my nails (Mmm)
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails (Woo)
Baby, how you feelin'? (Feelin' good as hell) (And we gon' be alright, oh)
Hair toss, check my nails (Mmm)
Baby, how you feelin'? (Feelin' good as hell) (Mmm)

Ooh, yeah (Mmm), alright (Yee)
Listen, so girl, if he don't love you anymore, more
Then walk your fine ass out the door (Door)
And do your hair toss, check my nails (Woo)
Baby, how you feelin'? (Feelin' good as hell) (Woo-hoo)
Hair toss, check my nails (Hey yeah)
Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)
Hair toss, check my nails (Mmm)
Baby, how you feelin'? (Feelin' good as hell) (And we gon' make it right)
Hair toss, check my nails (Oh, hey)
Baby, how you feelin'? (Feelin' good as hell) (Yeah)
(Feelin' good as hell)
Baby, how you feelin'? (Feelin' good as hell)
"
8,Lizzo,Soulmate,"True story
No glory, let's go

Yeah, the old me used to love a Gemini
Like a threesome, fuckin' with him every night
A lotta two-faced people show me both sides
So I figured out I gotta be my own type

They used to say to get a man, you had to know how to look
They used to say to keep a man, you had to know how to cook
But I'm solo in Soho, sippin' Soju in Malibu
It's a me, myself kinda attitude

'Cause I'm my own soulmate (Yeah, yeah)
I know how to love me (Love me)
I know that I'm always gonna hold me down
Yeah, I'm my own soulmate (Yeah, yeah)
No, I'm never lonely (Lonely)
I know I'm a queen, but I don't need no crown
Look up in the mirror like ""Damn, she the one""

One, one, one, one, one, one (The one)
Like ""Damn, she the one""
One, one, one (The one)
Bad bitch in the mirror like ""Yeah, I'm in love""
Love, love, love, love, love, love (In love)
Like ""Yeah, I'm in love""
Love, love, love (In love)
Look up in the mirror like ""Damn, she the one""
And she never tell me to exercise
We always get extra fries
And you know the sex is fire
And I gotta testify
I get flowers every Sunday
I'ma marry me one day

True love ain't something you can buy yourself
True love finally happens when you by yourself
So if you by yourself, then go and buy yourself
Another round from the bottle on the higher shelf

'Cause I'm my own soulmate (Yeah, yeah)
I know how to love me (Love me)
I know that I'm always gonna hold me down
(Always gonna hold me down)
Yeah, I'm my own soulmate (Yeah, yeah)
No, I'm never lonely (Lonely)
(No, I'm never lonely, no)
I know I'm a queen, but I don't need no crown
Look up in the mirror like ""Damn, she the one""

One, one, one, one, one, one (The one)
(She the one, she the one)
Like, ""Damn, she the one""
(She the one, she the one, she the one)
One, one, one (The one)
Bad bitch in the mirror like, ""Yeah, I'm in love""
(I'm in love, I'm in love, I'm in love)
Love, love, love, love, love, love (In love)
(I'm in love, I'm in love)
Like ""Yeah, I'm in love""
(I'm in love, yeah, I'm in love)
Love, love, love (In love)
Look up in the mirror like ""Damn, she the one""
I'm the one (Ooh)
I'm the one (You're the one)
I'm the one (Oh, you're the one)
Look up in the mirror like ""Damn, she the one""
One, one, one, one, one, one
Like ""Damn, she the one""
One, one, one, one
Bad bitch in the mirror like ""Yeah, I'm in love""
Love, love, love, love, love, love (In love)
(I'm in love, yeah, I'm in love)
Love, love, love (In love)
Look up in the mirror (Ow)

'Cause I'm my own soulmate (Yeah, yeah)
I know how to love me (Love me)
I know that I'm always gonna hold me down
Look up in the mirror like ""Damn, she the one""
Yeah, I'm my own soulmate (Yeah, yeah)
No, I'm never lonely (Lonely)
I know I'm a queen, but I don't need no crown
"
9,Lizzo,Jerome,"Woo, oh
Here we go again
Uh-uh, hee-hee
Uh, look, listen, shut up

Jerome, Jerome
Take your ass home
And come back when you're grown
Jerome, Jerome
Go on, take your ass home
Where the peaches have thorns, ooh

Poor little baby
Who told you that you stood a chance with this royalty?
You're so sweet, bless your heart
Can't let a pretty face distract me from business
And God as my witness, your ugly ass won't either
I'm sorry, 2 AM photos with smileys and hearts
Ain't the way to my juicy parts
Boy, thank me later, looks good on paper
But love isn't easy, so I'll do the hardest part

Jerome, Jerome
Go on, take your ass home
And come back when you're grown
Jerome, ooh, Jerome
Go on, take your ass home
Where the peaches have thorns
I never said I was perfect
Or you don't deserve a good person to carry your baggage
I know a few girls that can handle it
I ain't that kind of chick, but I can call 'em for you if you want
I never said that you wasn't attractive
Your style and that beard, ooh, don't get me distracted
I'm tryna be patient, and patience takes practice
The fact is I'm leaving, so just let me have this

Jerome, Jerome
Take your ass home
And come back when you're grown, oh
Jerome, ooh, Jerome
Go on, take your ass home
Where the peaches have thorns

Hee, hee, hee, hee, hee
(Don't cry for me, baby)
Hee, hee, hee, hee, hee
Hee, hee, hee, hee, hee
(Oh, don't cry for me, baby)
"
