,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,95,0.000598086126288938,0.06374612761149936,0.0005980861568711991,0.0005980861851733603,0.0005980861274492461,0.04885701521695907,0.0171043388602836,0.2637508813174463,0.0005980861613241781,0.03928836592552566,0.0005980861922640663,0.0005980861380272807,0.0005980861261369507,0.0005980861796080522,0.380298895230333,0.11717545142309628,0.35773854651792486,0.45411891392969767,0.9979919658553876,0.9018218623481781,0.33944765045342123,0.13711018802589228,sadness,1.0
4,frankie laine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,51,0.0355371338259024,0.09677674227829695,0.44343517381864045,0.0012836971138939872,0.0012836970540271917,0.02700747737752981,0.0012836971498796242,0.0012836971222831008,0.0012836971144120706,0.11803384116823598,0.001283697092589732,0.2126810671851602,0.05112419901776462,0.0012836970563617238,0.0012836971300268928,0.0012836971751683166,0.33174482833315283,0.64753993282568,0.9548192317462166,1.5283400809716598e-06,0.3250206100577081,0.2632402533492537,world/life,1.0
6,johnnie ray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,24,0.0027700831129647938,0.0027700832169508436,0.0027700833382844365,0.002770083310265701,0.0027700831051331583,0.00277008314953857,0.15856446565813143,0.25066790992061416,0.002770083254843025,0.3237940521915833,0.0027700834662438643,0.0027700833214308923,0.0027700832919671393,0.002770083513581458,0.002770083190828636,0.22542232330826406,0.45629806130185213,0.585288311155552,0.8403612855032989,0.0,0.35181368507831823,0.13911225255483453,music,1.0
10,pérez prado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,54,0.04824912378369902,0.0015479876476494773,0.0015479877360062859,0.0015479878225723087,0.021500355476212204,0.001547987658152495,0.41153582463430627,0.0015479877495862368,0.0015479877133966371,0.0015479876733447903,0.1292497848687442,0.0015479877229543303,0.0015479876490571416,0.0811317603482602,0.22588948422032734,0.0015479876193977388,0.6869923101917037,0.7444042765941081,0.08393482322773417,0.19939271255060728,0.7753503709810387,0.7437357402953926,romantic,1.0
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,48,0.0013495276983575314,0.0013495277107178126,0.4177722727138843,0.0013495277698047686,0.0013495276752446882,0.0013495277068270358,0.46343009486128023,0.0013495278059973876,0.0013495276912565005,0.0013495276771366025,0.0013495277127997536,0.0013495277971729712,0.029754565101290716,0.0013495276845286073,0.06880015162837107,0.0013495276709066218,0.2916711794649627,0.6464887316360279,0.9759035902646489,0.0002459514170040486,0.597073371805441,0.3943754799949707,romantic,1.0
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,98,0.0010526315827131649,0.42068466605183297,0.0010526316098598144,0.07407828447166948,0.001052631579946518,0.0010526315884610714,0.0010526315973327786,0.0010526316856165772,0.0010526316491178728,0.0010526317073738382,0.0010526316143697062,0.17217312598602819,0.0010526315943902602,0.0010526316363618554,0.1282918261528421,0.0010526315799163966,0.689158453373768,0.6855882880804041,0.8985942756970641,0.0,0.7681368507831822,0.5495354809879948,violence,1.0
15,freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,179,0.00048285853592895444,0.0004828585391496296,0.3718167049375792,0.04071196622112475,0.00048285852717896364,0.00048285852601433253,0.0004828585703156365,0.38470282035750364,0.0004828585383085951,0.00048285853292102395,0.0004828585460472616,0.044354670712664156,0.0004828585263456825,0.0004828585627096699,0.0004828585656360556,0.12314987700604764,0.36856926242824656,0.63369484398636,0.43574240536386083,0.0,0.2827699917559769,0.486470448326314,world/life,1.0
17,johnny mathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,21,0.0025062656672485235,0.002506265839006983,0.336056481879689,0.0025062656855382066,0.0025062656644163277,0.0025062656876167467,0.17686081100056078,0.002506265803470543,0.002506265741077501,0.002506265714418428,0.002506265792074993,0.38688661883578657,0.002506265758227142,0.002506265687844309,0.0626021023249228,0.0025062656642348426,0.37939997833856826,0.529420813783555,0.9257027366493341,7.196356275303643e-05,0.3734542456718879,0.19216696257180402,world/life,1.0
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,30,0.0835372026172713,0.002024291674260193,0.0020242916500493907,0.24827279104188021,0.0020242915130791097,0.0020242914985047406,0.4018011071559509,0.16778329796230831,0.0020242915635135467,0.0020242916136573013,0.0020242915602603465,0.0020242917177953463,0.002024291688942513,0.002024291513735481,0.002024291661684263,0.031599677583931174,0.49637171017004234,0.6661795246519497,0.9748995731923427,1.437246963562753e-05,0.6218054410552348,0.4003816735817975,romantic,1.0
23,stélios kazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,61,0.0011198208382970614,0.10254783417872616,0.0011198208536843867,0.053943789301423566,0.0011198208433863329,0.001119820834288861,0.0011198208453101041,0.09157194449160361,0.0011198209172559289,0.0011198208463548225,0.10575159029552901,0.0011198208628634822,0.00111982083067294,0.0011198208888459102,0.630507349802192,0.0011198208287422611,0.6620816635979638,0.6431300156398225,0.9839357268430994,0.0001751012145748988,0.7444352844187963,0.41339509301992206,sadness,1.0
