,Artist,Song,Lyrics
0,The Weeknd,The Hills,"[Intro].Yeah.Yeah.Yeah..[Verse 1].Your man on the road, he doin' promo.You said, ""Keep our business on the low-low"".I'm just tryna get you out the friend zone.'Cause you look even better than the photos.I can't find your house, send me the info.Drivin' through the gated residential.Found out I was comin', sent your friends home.Keep on tryna hide it, but your friends know..[Chorus].I only call you when it's half-past five.The only time that I'll be by your side.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, yeah.I only call you when it's half-past five.The only time I'd ever call you mine.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, babe.[Verse 2].I'ma let you know and keep it simple.Tryna keep it up don't seem so simple.I just fucked two bitches 'fore I saw you.And you gon' have to do it at my tempo.Always tryna send me off to rehab.Drugs started feelin' like it's decaf.I'm just tryna live life for the moment.And all these motherfuckers want a relapse..[Chorus].I only call you when it's half-past five.The only time that I'll be by your side.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, yeah.I only call you when it's half-past five.The only time I'd ever call you mine.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, babe..[Bridge].Hills have eyes, the hills have eyes.Who are you to judge? Who are you to judge?.Hide your lies, girl, hide your lies (Hide your lies, oh, baby).Only you to trust, only you.[Chorus].I only call you when it's half-past five.The only time that I'll be by your side.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, yeah.I only call you when it's half-past five.The only time I'd ever call you mine.I only love it when you touch me, not feel me.When I'm fucked up, that's the real me.When I'm fucked up, that's the real me, babe..[Outro].Ewedihalehu.Yene konjo, ewedihalehu.Yene fikir, fikir, fikir, fikir.Yene fikir, fikir, fikir, fikir.Ewedihalehu.Yene konjo, ewedihalehu...1.8KEmbedShare URLCopyEmbedCopy"
1,The Weeknd,Starboy,"[Verse 1].I'm tryna put you in the worst mood, ah.P1 cleaner than your church shoes, ah.Milli point two just to hurt you, ah.All red Lamb' just to tease you, ah.None of these toys on lease too, ah.Made your whole year in a week too, yah.Main bitch out of your league too, ah.Side bitch out of your league too, ah.[Pre-Chorus].House so empty, need a centerpiece.Twenty racks a table, cut from ebony.Cut that ivory into skinny pieces.Then she clean it with her face, man, I love my baby, ah.You talkin' money, need a hearing aid.You talkin' 'bout me, I don't see the shade.Switch up my style, I take any lane.I switch up my cup, I kill any pain..[Chorus].Look what you've done.I'm a motherfuckin' starboy.Look what you've done.I'm a motherfuckin' starboy.[Verse 2].Every day, a nigga try to test me, ah.Every day, a nigga try to end me, ah.Pull off in that Roadster SV, ah.Pockets overweight, gettin' hefty, ah.Comin' for the king, that's a far cry, I.I come alive in the fall time, I.The competition, I don't really listen.I'm in the blue Mulsanne, bumpin' New Edition.[Pre-Chorus].House so empty, need a centerpiece.Twenty racks a table, cut from ebony.Cut that ivory into skinny pieces.Then she clean it with her face, man, I love my baby, ah.You talkin' money, need a hearing aid.You talkin' 'bout me, I don’t see the shade.Switch up my style, I take any lane.I switch up my cup, I kill any pain..[Chorus].Look what you've done.I’m a motherfuckin' starboy.Look what you've done.I'm a motherfuckin’ starboy.[Verse 3].Let a nigga brag Pitt.Legend of the fall, took the year like a bandit.Bought Mama a crib and a brand new wagon.Now she hit the grocery shop lookin' lavish.Star Trek roof in that Wraith of Khan.Girls get loose when they hear this song.A hundred on the dash get me close to God.We don't pray for love, we just pray for cars.[Pre-Chorus].House so empty, need a centerpiece.Twenty racks a table, cut from ebony.Cut that ivory into skinny pieces.Then she clean it with her face, man, I love my baby, ah.You talkin' money, need a hearing aid.You talkin' 'bout me, I don't see the shade.Switch up my style, I take any lane.I switch up my cup, I kill any pain..[Chorus].Look what you've done.I'm a motherfuckin' starboy.Look what you've done.I'm a motherfuckin' starboy.Look what you've done.I'm a motherfuckin' starboy.Look what you've done."
2,The Weeknd,Can’t Feel My Face,"[Produced by Max Martin]..[Verse 1].And I know she'll be the death of me.At least we'll both be numb.And she'll always get the best of me.The worst is yet to come.But at least we'll both be beautiful and stay forever young.This I know, yeah, this I know..[Pre-Chorus].She told me, ""Don't worry about it"".She told me, ""Don't worry no more"".We both know we can't go without it.She told me, ""You'll never be alone"", oh, oh, woo..[Chorus].I can't feel my face when I'm with you.But I love it, but I love it, oh.I can't feel my face when I'm with you.But I love it, but I love it, oh..[Verse 2].And I know she'll be the death of me.At least we'll both be numb.And she'll always get the best of me.The worst is yet to come.All the misery was necessary when we're deep in love.This I know (This I know), girl, I know.[Pre-Chorus].She told me, ""Don't worry about it"".She told me, ""Don't worry no more"".We both know we can't go without it.She told me, ""You'll never be alone"", oh, oh, woo..[Chorus].I can't feel my face when I'm with you.But I love it, but I love it, oh.I can't feel my face when I'm with you (I can't feel my face).But I love it, but I love it, oh (But I love it).I can't feel my face when I'm with you (I can't feel my face when I'm with you).But I love it, but I love it, oh (But I love it, but I love it).I can't feel my face when I'm with you (I can't feel my face when I'm with you).But I love it, but I love it, oh (But I love it, but I love it).[Pre-Chorus].She told me, ""Don't worry about it"".She told me, ""Don't worry no more"".We both know we can't go without it.She told me, ""You'll never be alone"", oh, oh, woo..[Chorus].I can't feel my face when I'm with you (I can't feel my face).But I love it, but I love it, oh (But I love it, oh, I love it).I can't feel my face when I'm with you (Said, I can't feel my face).But I love it, but I love it, oh (But I love it, but I love it).I can't feel my face when I'm with you (I can't feel my face when I'm with you).But I love it, but I love it, oh (But I love it).I can't feel my face when I'm with you (I can't feel my face when I'm with you).But I love it, but I love it, oh (When I'm with you, baby, when I'm with you, baby)."
3,The Weeknd,Reminder,"[Verse 1].Record man play my song on the radio.You too busy tryna find that blue-eyed soul.I let my black hair grow and my weed smoke.And I swear too much on the regular.We gon' let them hits fly, we gon' let it go.If it ain't XO then it gotta go.I just won a new award for a kids show.Talking 'bout a face numbing off a bag of blow.I'm like, goddamn, bitch, I am not a Teen Choice.Goddamn, bitch, I am not a bleach boy.Whip game, make a nigga understand though.Got that Hannibal, Silence of the Lambo.Hit the gas so hard make it rotate.All my niggas blew up like a propane.All these R&B niggas be so lame.Got a sweet Asian chick, she go lo mein..[Chorus].Know me (Oh-oh-oh).You know me, know me (Na-na-na-na-na).You know man, know man (Oh-oh-oh).You know me, know me (Na-na-na-na-na).Every time you try to forget who I am.I'll be right there to remind you again.You know me (Pow, pow).You know me (Know me).[Verse 2].Said I'm just tryna swim in something wetter than the ocean.Faded off a double cup, I'm mixing up the potion.All I wanna do is make that money and make dope shit.It just seem like niggas tryna sound like all my old shit.Everybody knows it, all these niggas know me.Platinum off a mixtape, sipping on that codeine.Pour it in my trophies, roll until my nose bleed.I'ma keep on singing while I'm burning up that OG.All my niggas get it, they make money all alone.Rock a chain around they neck, making sure I'm getting home.When I travel 'round the globe, make a couple mil' a show.And I come back to my city, I fuck every girl I know.Used to walk around with a slouch, had a mattress on the floor.Now my shit straight.Eating all day, tryna lose weight.That good sex, we'll sweat it out.Hotel bed springs, we'll wear it out.I ain't gotta tell you..[Chorus].'Cause you know me (Oh-oh-oh).You know me, know me (Na-na-na-na-na).You know man, know man (Oh-oh-oh).You know me, know me (Na-na-na-na-na).Every time you try to forget who I am (Try to forget who I am).I'll be right there to remind you again (Hey).You know me (Pow, pow).You know me (Know me, know me).[Bridge].Why don't you shake some, shake somethin'.For the Don? Don't you break nothin', break nothin'.Baby girl, won't you work some, work somethin'.For the Don? Don't you hurt nothin', hurt nothin'.Baby girl, won't you shake some, shake somethin' (Shake some).For the Don? Don't you break nothin' (Break nothin'), break nothin'.Baby girl, won't you work some (Work), work somethin'.For the Don? don't you hurt nothin', hurt nothin'..[Refrain].'Cause you know me, girl, you know me.You're a no-man, yeah, you know, man..[Outro].Oh-oh-oh, na-na-na-na-na.Oh-oh-oh, na-na-na-na-na.Oh-oh-oh, na-na-na-na-na."
4,The Weeknd,Call Out My Name,"[Verse 1].We found each other.I helped you out of a broken place.You gave me comfort.But falling for you was my mistake..[Pre-Chorus].I put you on top, I put you on top.I claimed you so proud and openly.And when times were rough, when times were rough.I made sure I held you close to me..[Chorus].So call out my name (Call out my name).Call out my name when I kiss you so gently.I want you to stay (Want you to stay).I want you to stay even though you don't want me.Girl, why can't you wait? (Why can't you wait, baby?).Girl, why can't you wait 'til I fall out of love?.Won't you call out my name? (Call out my name).Girl, call out my name, and I'll be on my way and.I'll be on my—..[Verse 2].I said I didn't feel nothing, baby, but I lied.I almost cut a piece of myself for your life.Guess I was just another pit stop.'Til you made up your mind.You just wasted my time.[Pre-Chorus].You were on top, I put you on top.I claimed you so proud and openly, babe.And when times were rough, when times were rough.I made sure I held you close to me..[Chorus].So call out my name (Call out my name, baby).So call out my name when I kiss you so gently (Ohh).I want you to stay (I want you to stay).I want you to stay even though you don't want me.Girl, why can't you wait? (Girl, why can't you wait 'til I?).Girl, why can't you wait 'til I fall out of loving?.Babe, call out my name (Say call out my name, baby).Girl call out my name and I'll be on my way.And, I'll be on my—..[Outro].On my way, on my way.On my way, on my way, ooh.On my way, on my way, on my way.On my way, on my way, on my way."
5,The Weeknd,Often,"[Produced by Ben Billions]..[Intro: Nükhet Duru & The Weeknd].Seneler sürer her günüm.Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah.Yalnız gitmekten yorgunum.Ooh yeah, ooh yeah, ooh yeah, ooh yeah.Seneler sürer her günüm.Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah.Yalnız gitmekten yorgunum.Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah..[Verse 1: The Weeknd].I usually love sleeping all alone.This time around bring your friend with you.But we ain't really going to sleep at all.You ain't gonna catch me with them sneak pictures, sneak pictures.In my city, I'm a young God.That pussy kill be so vicious.My God white, he in my pocket.He get me redder than the devil 'til I go nauseous (Oh)..[Chorus: The Weeknd].She asked me if I do this every day, I said, ""Often"".Asked how many times she rode the wave, ""Not so often"" (Baby).Bitches down to do it either way, often.Baby I can make that pussy rain, often.Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often.[Verse 2: The Weeknd].Infatuated by the fame status.She wanna ride inside the G-Class grey 'matic (Oh).I come around, she leave that nigga like he ain't matter.That girl been drinkin' all day, need to change bladder.She's just happy that the crew's back in town.She 'bout to go downtown for a whole hour.If I had her, you can have her, man it don't matter.I'm never sour, I'm just smokin' somethin' much louder..[Chorus: The Weeknd].She asked me if I do this every day, I said, ""Often"".Asked how many times she rode the wave, ""Not so often"".Bitches down to do it either way, often.Baby I can make that pussy rain, often.(Baby, I can make that pussy rain).Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often..[Bridge: The Weeknd].Ooh, the sun's risin' up.The night's almost up.The night's almost done.But I see your eyes.You wanna go again.Girl, I'll go again.Girl, I'll go again.[Chorus: The Weeknd].She asked me if I do this every day, I said, ""Often"".Asked how many times she rode the wave, ""Not so often"".Bitches down to do it either way, often.(Bitches down to do it either way).Baby I can make that pussy rain, often (Oh, oh-oh-oh).Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often, often, girl I do this often.Make that pussy poppin', do it how I want it.Often..[Outro: Nükhet Duru & The Weeknd].Seneler sürer her günüm.Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah.Yalnız gitmekten yorgunum.Ooh yeah, ooh yeah, ooh yeah, ooh yeah.Seneler sürer her günüm.Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah.Yalnız gitmekten yorgunum.Ooh yeah, ooh yeah, ooh yeah, ooh yeah1.7KEmbedShare URLCopyEmbedCopy"
6,The Weeknd,Blinding Lights,"[Intro].Yeah..[Verse 1].I've been tryna call.I've been on my own for long enough.Maybe you can show me how to love, maybe.I'm going through withdrawals.You don't even have to do too much.You can turn me on with just a touch, baby..[Pre-Chorus].I look around and.Sin City's cold and empty (Oh).No one's around to judge me (Oh).I can't see clearly when you're gone..[Chorus].I said, ooh, I'm blinded by the lights.No, I can't sleep until I feel your touch.I said, ooh, I'm drowning in the night.Oh, when I'm like this, you're the one I trust.Hey, hey, hey..[Verse 2].I'm running out of time.'Cause I can see the sun light up the sky.So I hit the road in overdrive, baby, oh.[Pre-Chorus].The city's cold and empty (Oh).No one's around to judge me (Oh).I can't see clearly when you're gone..[Chorus].I said, ooh, I'm blinded by the lights.No, I can't sleep until I feel your touch.I said, ooh, I'm drowning in the night.Oh, when I'm like this, you're the one I trust..[Bridge].I'm just calling back to let you know (Back to let you know).I could never say it on the phone (Say it on the phone).Will never let you go this time (Ooh)..[Chorus].I said, ooh, I'm blinded by the lights.No, I can't sleep until I feel your touch.Hey, hey, hey.Hey, hey, hey..[Outro].I said, ooh, I'm blinded by the lights."
7,The Weeknd,Heartless,"[Intro].Young Metro, young Metro, young Metro (Sheesh).Ayy (Ayy).Young Metro, young Metro..[Verse 1].Never need a bitch, I'm what a bitch need (Bitch need).Tryna find the one that can fix me.I've been dodgin' death in the six-speed.Amphetamine got my stummy feelin' sickly.Yeah, I want it all now.I've been runnin' through the pussy, need a dog pound.Hundred models gettin' faded in the compound.Tryna love me, but they never get a pulse down..[Chorus].Why? 'Cause I'm heartless.And I'm back to my ways 'cause I'm heartless.All this money and this pain got me heartless.Low life for life 'cause I'm heartless.Said I'm heartless.Tryna be a better man, but I'm heartless.Never be a weddin' plan for the heartless.Low life for life 'cause I'm heartless..[Verse 2].Said I'm heartless.So much pussy, it be fallin' out the pocket.Metro Boomin turn this ho into a moshpit.Tesla pill got me flyin' like a cockpit.Yeah, I got her watchin'.Call me up, turn that pussy to a faucet.Duffle bags full of drugs and a rocket.Stix drunk, but he never miss a target.Photoshoots, I'm a star now (Star).I'm talkin' Time, Rolling Stone, and Bazaar now (Bazaar now).Sellin' dreams to these girls with their guard down (What?).Seven years, I've been swimmin' with the sharks now.[Chorus].Why? 'Cause I'm heartless.And I'm back to my ways 'cause I'm heartless.All this money and this pain got me heartless.Low life for life 'cause I'm heartless.Said I'm heartless.Tryna be a better man, but I'm heartless.Never be a weddin' plan for the heartless.Low life for life 'cause I'm heartless..[Bridge].I lost my heart and my mind.I try to always do right.I thought I lost you this time.You just came back in my life.You never gave up on me (Why don't you?).I'll never know what you see (Why won't you?).I don't do well when alone (Oh yeah).You hear it clear in my tone..[Chorus].'Cause I'm heartless (Ooh).And I'm back to my ways 'cause I'm heartless.All this money and this pain got me heartless.Low life for life 'cause I'm heartless.Said I'm heartless.Tryna be a better man, but I'm heartless.Never be a weddin' plan for the heartless."
8,The Weeknd,I Feel It Coming,"[Intro: The Weeknd].Yeah, uh..[Verse 1: The Weeknd].Tell me what you really like.Baby, I can take my time.We don't ever have to fight.Just take it step-by-step.I can see it in your eyes.'Cause they never tell me lies.I can feel that body shake.And the heat between your legs..[Pre-Chorus: The Weeknd].You've been scared of love and what it did to you.You don't have to run, I know what you've been through.Just a simple touch and it can set you free.We don't have to rush when you're alone with me..[Chorus: The Weeknd].I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe..[Verse 2: The Weeknd].You are not the single type.So baby, this the perfect time.I'm just tryna get you high (I'm just tryna, babe).And faded off this touch.You don't need a lonely night.So baby, I can make it right.You just got to let me try.To give you what you want.[Pre-Chorus: The Weeknd].You've been scared of love and what it did to you.You don't have to run, I know what you've been through.Just a simple touch and it can set you free.We don't have to rush when you're alone with me..[Chorus: The Weeknd & Daft Punk].I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe..[Pre-Chorus: The Weeknd].Uh, you've been scared of love and what it did to you.You don't have to run, I know what you've been through.Just a simple touch and it can set you free.We don't have to rush when you're alone with me..[Chorus: The Weeknd & Daft Punk].I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.(I know what you feel right now).I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I know what you say right now, babe.(Na-na, na, na-na, na, na-na, na, oh, babe).I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I know what you say right now, babe.(Na-na, na, na-na, na, na-na, na, oh, babe).I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.I feel it coming, I feel it coming, babe.[Outro: Daft Punk].I feel it coming, babe.I feel it coming, babe.I feel it coming, babe."
9,The Weeknd,Wicked Games,"[Intro].Woah, woah, ehh..[Verse 1].I left my girl back home.I don't love her no more.And she'll never fucking know that.These fucking eyes that I'm staring at.Let me see that ass.Look at all this cash.And I emptied out my cards too.Now I'm fucking leaning on that..[Pre-Hook].Bring your love, baby, I could bring my shame.Bring the drugs, baby, I could bring my pain.I got my heart right here.I got my scars right here.Bring the cups, baby, I could bring the drank.Bring your body, baby, I could bring you fame.And that's my motherfucking words too.Just let me motherfucking love you..[Hook].Listen, ma, I'll give you all I got.Get me off of this, I need confidence in myself (Yeah, yeah, yeah, ohh, yeah).Ohh, listen, ma, I'll give you all of me.Give me all of it, I need all of it to myself (Woah, woah).So tell me you love me.(Only for tonight, only for the night).Even though you don't love me (Ohh, ohh).Just tell me you love me.(I'll give you what I need, I'll give you all of me).Even though you don't love me (Ohh, ohh) (yeah, yeah) (yeah, yeah).[Verse 2].Let me see you dance.I love to watch you dance.Take you down another level.And get you dancing with the Devil.Take a shot of this.But I'm warning you.I'm on that shit that you can't smell, baby.So, put down your perfume..[Pre-Hook].Bring your love, baby, I could bring my shame.Bring the drugs, baby, I could bring my pain.Oh, I got my heart right here.Oh, I got my scars right here.Bring the cups, baby, I could bring the drank.Bring your body, baby, I could bring you fame.And that's my motherfucking words too, ayy.So let me motherfucking love you..[Hook].Listen, ma, I'll give you all I got.Get me off of this (off of this), I need confidence (confidence)  in myself (Ooh, eh, ehh).Listen, ma, I'll give you all of me (Ooh).Give me all of it, I need all of it to myself (I need all of it).So tell me you love me, yeah.(Only for tonight, only for the night).Even though you don't love me (Ohh, ohh).Just tell me you love me.(I'll give you what I need, I'll give you all of me).Even though you don't love me (Ohh, ohh)."
