,Artist,Song,Lyrics
0,Patti Smith,Gloria (In Excelsis Deo),"Jesus died for somebody's sins but not mine
Melting in a pot of thieves wild card up my sleeve
Thick, heart of stonemy sins my own
They belong to me. Me
People said beware but I don't care
Their words are just rules and regulations to me. Me
I walk in a room you know I look so proud
I move in this here atmosphere where anything's allowed
Then I go to this here party and I just get bored
Until I look out the window see a sweet young thing
Humping on a parking meter leaning on the parking meter
Oh, she looks so good. Oh, she looks so fine
And I've got this crazy feeling that I'm going to make her mine
Oh I'll put my spell on her here she comes
Walking down the street here she comes
Coming through my door here she comes
Crawling up my stair here she comes
Waltzing through the hall in a pretty red dress
And oh, she looks so good. Oh, she looks so fine
And I've got this crazy feeling that I'm going to make her mine
Then I hear this knocking on my door hear this knocking on my door
And I look up to the big tower clock and say oh my God it's midnight
And my baby is walking through the door laying on my couch
She whispers to me and I take the big plunge
And oh, she was so good. And oh, she was so fine
And I'm going to tell the world that I just made her mine
And I said darling, tell me your name, she told me her name
She whispered to me, she told me her name
And her name is, and her name is, and her name is, and her name is
G L O R I -
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
I was at the stadium. There were two thousand girls
Called their names out to me Marie Ruth but to tell you the truth
I didn't hear them. I didn't see. I let my eyes rise to the big tower clock
And I heard those bells chiming in my heart going ding-dong
Ding-dong ding-dong ding-dong ding-dong ding-dong ding-dong
Ding-dong. Calling the time when you came to my room
And you whispered to me and we took the big plunge
And oh, you were so good. Oh, you were so fine
And I've got to tell the world that I made ya mine, made ya mine
Made her mine made ya mine made her mine made ya mine
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R I-A Gloria
G-L-O-R-I-A Gloria
When the tower bells chime
Ding-dong they chime
I said that Jesus died
For somebody's sins
But not mine
Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
G-L-O-R-I-A Gloria
"
1,Patti Smith,Land: Horses/Land of a Thousand Dances/La Mer (De),"Horses
The boy was in the hallway drinking a glass of tea (A glass of tea)
From the other end of the hallway a rhythm was generating
Another boy was sliding up the hallway
(His gold nerves merged perfectly with the hallway)
He merged perfectly with the hallway
(A radiant light, an aura around the mirror merged and looked at Johnny)
He merged perfectly, the mirror in the hallway
(Fastened, in the kitchen)
The boy looked at Johnny, Johnny wanted to run
But the movie kept moving as planned
(Johnny wanted to run but the movie kept moving as planned)
The boy took Johnny (The boy took Johnny), he pushed him against the locker (He pushed him against the locker)
He drove it in, he drove it home, he drove it deep in Johnny (He drove it in, he drove it home)
The boy disappeared, Johnny fell on his knees
Started crashing his head against the locker
Started crashing his head against the locker
Started laughing hysterically
When suddenly Johnny gets the feeling he's being surrounded by
Horses, horses, horses, horses
Coming in in all directions
White shining silver studs with their nose in flames
He saw horses, horses, horses, horses, horses, horses, horses, horses
Land of A Thousand Dances
Do you know how to pony like Bony Maroney?
Do you know how to twist? Well it goes like this, it goes like this
Baby mash potato
Do the alligator, do the alligator
And you twist the twister like your baby sister
I want your baby sister, give me your baby sister, I dig your baby sister
And rise up on her knees
Do the sweet pea, do the sweet pee pee
Roll down on her back
Got to lose control, got to lose control
Got to lose control and then you take control
Then you're rolled down on your back
And you like it like that, like it like that, like it like that, like it like that
And then you do the Watusi, yeah do the Watusi
Life is filled with holes, Johnny's laying there in his sperm coffin
Angel looks down at him and says, ""Oh, pretty boy can't you show me nothing but surrender?""
And Johnny gets up, takes off his leather jacket
Taped to his chest there's the answer
You got pen knives and jack knives and switchblades preferred, switchblades preferred
Then he cries, then he screams, saying
""Life is full of pain, I'm cruisin' through my brain""
And I fill my nose with snow and go Rimbaud
Go Rimbaud, go Rimbaud and go, Johnny, go, and do the Watusi, oh do the Watusi
There's a little place, a place called space
It's a pretty little place, it's across the tracks
Across the tracks and the name of the place is
You like it like that, you like it like that
You like it like that, you like it like that
And the name of the band is
Twistelettes, Twistelettes, Twistelettes, Twistelettes
Twistelettes, Twistelettes, Twistelettes, Twistelettes
Baby calm down, better calm down
On the night, in the eye of the forest
There's a mare black and shining with yellow hair
I put my fingers through her silken hair and found a stair
And I didn't waste time, I just walked right up
And saw that up there, there is a sea (He's always staring)
Up there there is a sea, up there there is a sea
The sea's the possibility (And in to time, he walked right up)
There is no land but the land (Up there is just a sea of possibilities)
There is no sea but the sea (Up there is a wall of possibilities)
There is no keeper but the key (Up there there are several walls of possibilities)
Except for one who seizes possibilities, one who seizes possibilities (Up there)
I seize the first possibility, is the sea around me (There is a sea, there is a sea of possibilities)
I was standing there with my legs spread like a sailor
(In a sea of possibilities, up there, there is a) I felt his hand on my knee
(On the screen)
And I looked at Johnny and handed him a branch of coral flame
(In the heart of man)
The waves were coming in like Arabian stallions
Gradually lapping into sea horses
He picked up the blade and he pressed it against his smooth throat
(The spoon)
And let it dip in
(The veins)
Dip in to the sea, to the sea of possibilities
It started hardening
Dip in to the sea, to the sea of possibilities
It started hardening in my hand
And I felt the arrows of desire, that
I put my hand inside his cranium, oh we had such a Brainiac-amour
But no more, no more, I gotta move from my mind to the area
(Go Rimbaud, go Rimbaud, go Rimbaud)
And go Johnny go and do the Watusi
Yeah do the Watusi, do the Watusi
Shined open coiled snakes white and shiny twirling and encircling
Our lives are now entwined, we will fall yes we're together twining
Your nerves, your mane of the black shining horse
And my fingers all entwined through the air
I could feel it, it was the hair going through my fingers
(I feel it, I feel it, I feel it, I feel it)
The hairs were like wires going through my body
I—I that's how I
That's how I
I died
(At that Tower of Babel they knew what they were after)
(They knew what they were after)
 moved up
I tried to stop it, but it was too warm, too unbelievably smooth
Like playing in the sea, in the sea of possibility, the possibility (No possibility, no possibility, no possibility)
(The possibilities) Was a blade, a shiny blade, I hold the key to the sea of possibilities
There's no land but the land
La Mer De
Looked at my hands, and there's a red stream
That went streaming through the sands like fingers
Like arteries, like fingers
(How much fits between the eyes of a horse?)
He lay, pressing it against his throat (Your eyes)
He opened his throat (Your eyes)
His vocal chords started shooting like (Of a horse) mad pituitary glands
The scream he made (And my heart) was so high (My heart) pitched that nobody heard
No one heard that cry
No one heard (Johnny) the butterfly flapping in his throat
(His fingers)
Nobody heard, he was on that bed, it was like a sea of jelly
(Throat) And so he seized the first
(His vocal chords shot up)
(The closest possibility)
(Mad pituitary glands)
It was a black tube, he felt himself disintegrate
(There is nothin' happening at all)
And go inside the black tube, so when he looked out into the steep
Saw this sweet young thing (Fender one)
Humping on the parking meter, leaning on the parking meter
In the sheets, there was a man
Dancing around to the simple
"
2,Patti Smith,Birdland,"His father died and left him a little farm in New England
All the long black funeral cars left the scene
And the boy was just standing there alone
Looking at the shiny red tractor
Him and his daddy used to sit inside
And circle the blue fields and grease the night
It was as if someone had spread butter
On all the fine points of the stars
'Cause when he looked up they started to slip
Then he put his head in the crux of his arms
And he started to drift, drift to the belly of a ship
Let the ship slide open, and he went inside of it
And saw his daddy behind the control board
Streaming beads of light
He saw his daddy behind the control board
And he was very different tonight
'Cause he was not human, he was not human
The little boy's face lit up with such naked joy
That the sun burned around his lids and his eyes were like two suns
White lids, white opals, seeing everything just a little bit too clearly
And he looked around and there was no black ship in sight
No black funeral cars, nothing except for him the raven
And fell on his knees and looked up and cried out
No, daddy, don't leave me here alone
Take me up, daddy, to the belly of your ship
Let the ship slide open and I'll go inside of it
Where you are not human, you are not human
But nobody heard the boy's cry of alarm
Nobody there except for the birds around the New England farm
And they gathered in all directions, like roses they scattered
And they were like compass grass coming together into the head of
A shaman bouquet. Slit in his nose and all the others went shooting
And he saw the lights of traffic beckoning like the hands of Blake
Grabbing at his cheeks, taking out his neck, all his limbs
Everything was twisted and he said:
I won't give up, won't give up, don't let me give up
I won't give up, come here, let me go up fast
Take me up quick. take me up, up to the belly of a ship
And the ship slides open and I go inside of it
Where I am not human
I am helium raven and this movie is mine
So he cried out as he stretched the sky
Pushing it all out like latex cartoon
Am I all alone in this generation?
We'll just be dreaming of animation night and day
It won't let up, won't let up and I see them coming in
Oh, I couldn't hear them before, but I hear them now
It's a radar scope in all silver and all platinum lights
Moving in like black ships
They were moving in, streams of them
And he put up his hands and he said:
It's me, it's me, I'll give you my eyes, take me up
Oh now please take me up, I'm helium raven
Waiting for you, please take me up, don't leave me here!
The son, the sign, the cross, like the shape of a tortured woman
The true shape of a tortured woman, the mother standing
In the doorway letting her sons, no longer presidents but prophets
They're all dreaming they're gonna bear the prophet
He's going to run through the fields dreaming in animation
It's all gonna split his skull, it's gonna come out
Like a black bouquet shining, like a fist that's gonna shoot them up
Like light, like Mohammed Boxer, take them up up up up up up
Oh, let's go up up, take me up I'll go up I'm going up I'm going up
Take me up, I'm going up, I'll go up there
Go up go up go up go up up up up up up up
Up, up to the belly of a ship. Let the ship slide open
We'll go inside of it where we are not human we're not human
Well, there was sand, there were tiles
The sun had melted the sand and it coagulated like a river of glass
When it hardened he looked at the surface, he saw his face
And where there were eyes were just two white opals, two white opals
Where there were eyes there were just two white opals
And he looked up and the rays shot, and then he saw raven coming in
And he crawled on his back and he went up up up up up up up
Sha da do wop, da shaman do way, sha da do wop, da shaman do way
Sha da do wop, da shaman do way, sha da do wop, da shaman do way
Sha da do wop, da shaman do way
"
3,Patti Smith,Redondo Beach,"Late afternoon dreaming hotel
We just had the quarrel that sent you away
I was looking for you are you gone gone
Called you on the phone another dimension
Well you never returned oh you know what I mean
I went looking for you are you gone gone
Down by the ocean it was so dismal
Women all standing with shock on their faces
Sad description oh I was looking for you
Everyone was singing girl is washed up
On Redondo Beach and everyone is so sad
I was looking for you are you gone gone
Pretty little girl everyone cried
She was the victim of sweet suicide
I went looking for you are you gone gone
Down by the ocean it was so dismal
Women all standing with shock on their faces
Sad description oh I was looking for you
Desk clerk told me girl was washed up
Was small and angel with apple blonde hair now
I went looking for you are you gone gone
Picked up my key didn't reply
Went to my room started to cry
You were small and angel are you gone gone
Down by the ocean it was so dismal
I was just standing with shock on my face
The hearse pulled away
The girl that had died it was you
You'll never return into my arms
'Cause you are gone gone
Never return into my arms
Ccause you are gone gone
Gone gone gone gone
"
4,Patti Smith,Free Money,"Every night before I go to sleep
Find a ticket, win a lottery
Scoop the pearls up from the sea
Cash them in and buy you all the things you need
Every night before I rest my head
See those dollar bills go swirling 'round my bed
I know they're stolen, but I don't feel bad
I take that money, buy you things you never had
Oh, baby, it would mean so much to me
Oh, baby, to buy you all the things you need for free
I'll buy you a jet plane, baby
Get you on a higher plane to a jet stream
And take you through the stratosphere
And check out the planets there and then take you down
Deep where it's hot, hot in Arabia
Baby, then cool, cold fields of snow
And we'll roll, dream, roll, dream, roll, roll, dream, dream
When we dream it, when we dream it, when we dream it
We'll dream it, dream it for free, free money
Free money, free money
Free money, free money
Free money, free money
Every night before I go to sleep
Find a ticket, win a lottery
Every night before I rest my head
See those dollar bills go swirling 'round my bed
Oh, baby, it would mean so much to me
Baby, I know our troubles will be gone
Oh, I know our troubles will be gone, goin' gone
If we dream, dream, dream for free
And when we dream it, when we dream it, when we dream it
Let's dream it, we'll dream it for free, free money
Free money, free money
Free money, free money
Free money, money
"
5,Patti Smith,People Have the Power,"I was dreaming in my dreaming
Of an aspect bright and fair
And my sleeping, it was broken
But my dream, it lingered near
In the form of shining valleys
Where the pure air recognized
And my senses newly opened
I awakened to the cry

That the people have the power
To redeem the work of fools
Upon the meek the graces shower
It's decreed: the people rule

People have the power
People have the power
People have the power
People have the power

Vengeful aspect became suspect
And bending low as if to hear
And the armies ceased advancing
Because the people had their ear
And the shepherds and the soldiers
Lay beneath the stars
Exchanging visions and laying arms
To waste in the dust
In the form of shining valleys
Where the pure air recognized
And my senses newly opened
I awakened to the cry

People have the power
People have the power
People have the power
People have the power

Where there were deserts I saw fountains
Like cream the waters rise
And we strolled there together
With none to laugh or criticize
And the leopard and the lamb
Lay together truly bound
I was hoping in my hoping
To recall what I had found

I was dreaming in my dreaming
God knows a purer view
As I lay down to my sleeping
I commit my dream to you
People have the power
People have the power
People have the power
People have the power

The power to dream, to rule
To wrestle the world from fools
It's decreed: the people rule
It's decreed: the people rule
Listen. I believe everything we dream
Can come to pass through our union
We can turn the world around
We can turn the earth's revolution

We have the power
People have the power
People have the power
People have the power

The power to dream, to rule
To wrestle the world from fools
It's decreed: the people rule
It's decreed: the people rule
We have the power
We have the power
The people have the power
"
6,Patti Smith,Kimberly,"The wall is high, the black barn
The babe in my arms in her swaddling clothes
And I know soon that the sky will split
And the planets will shift
Balls of jade will drop and existence will stop
Little sister, the sky is falling, I don't mind, I don't mind
Little sister, the fates are calling on you
Ah, here I stand again in this old 'lectric whirlwind
The sea rushes up my knees like flame
And I feel like just some misplaced Joan Of Arc
And the cause is you lookin' up at me
Oh baby, I remember when you were born
It was dawn and the storm settled in my belly
And I rolled in the grass and I spit out the gas
And I lit a match and the void went flash
And the sky split and the planets hit
Balls of jade dropped and existence stopped, stopped, stop, stop
Little sister, the sky is falling, I don't mind, I don't mind
Little sister, the fates are calling on you
I was goin' crazy, so crazy I knew I could break through with you
So with one hand I rocked you and with one heart I reached for you
Ah, I knew your youth was for the takin', fire on a mental plane
So I ran through the fields as the bats with their baby vein faces
Burst from the barn and flames in a violent violet sky
And I fell on my knees and pressed you against me
Your soul was like a network of spittle
Like glass balls movin' in like cold streams of logic
And I prayed as the lightning attacked
That something will make it go crack, something will make it go crack
Something will make it go crack, something will make it go crack
The palm trees fall into the sea
It doesn't matter much to me
As long as you're safe, Kimberly
And I can gaze deep
Into your starry eyes, baby, looking deep in your eyes, baby
Looking deep in your eyes, baby, looking deep in your eyes, baby
Into your starry eyes, oh
Oh, in your starry eyes, baby
Looking deep in your eyes, baby, looking deep in your eyes, baby, oh
Oh, looking deep in your eyes, baby
"
7,Patti Smith,Smells Like Teen Spirit,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored, myself assured
I know, I know a dirty word

Hello, hello, hello, hello
Hello, hello, hello

With the lights out it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido
Yeah

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, hello
Hello, hello, hello
With the lights out it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido
Yeah

And I forget just what it takes
And yet I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, nevermind

Hello, hello, hello, hello
Hello, hello, hello

The empty hand of innocence
Transfusing street of the sorrows
And children of the wood
Hounded, shredding all veils
And winding all sheets of the dead world droning
Overturning tables laden with silver sacrificial birds
Beating goat-skin drums
Advancing with hands outstretched
And we keep filling them with mercury nitrate, asbestos
Baby bombs blasting blue
Scavengers picking through the ashes
Children of the mills, children of the junkyards
Sleepy, illiterate, fuzzy little rats
Haunted, paint-sniffin'
Stoned out of their shaved heads
Forgotten, foraging, mystical children
Foul-mouthed, glassy eyed, hallucinating
Hello, hello, hello, hello
Hello, hello, hello
Hello, hello, hello, hello
Hello

With the lights out it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido
Ah, la la da, ah, la la da
Ah, la la la, ah, ma la ta
An albina, a mosquito
My libido, oh, my libido

Oh yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeahEmbedShare URLCopyEmbedCopy"
8,Patti Smith,Break It Up,"Car stopped in a clearing
Ribbon of life, it was nearing
I saw the boy break out of his skin
My heart turned over and I crawled in
He cried, ""Break it up, oh I don't understand
Break it up, I can't comprehend
Break it up, oh, I want to feel you
Break it up, don't talk to me that way
I'm not listening""
Snow started falling
I could hear the angel calling
We rolled on the ground, he stretched out his wings
The boy flew away and he started to sing
He sang, ""Break it up, oh, I don't understand
Break it up, I can't comprehend
Break it up, oh, I want to feel you
Break it up, don't look at me""
The sky was raging, the boy disappeared
I fell on my knees
Atmosphere broke up, the boy reappeared
I cried, ""Take me please!""
Ice, it was shining
I could feel my heart, it was melting
I tore off my clothes, I danced on my shoes
I ripped my skin open and then I broke through
I cried, ""Break it up, oh, now I understand
Break it up, and I want to go
Break it up, oh please take me with you
Break it up, I can feel it breaking
I can feel it breaking, I can feel it breaking
I can feel, I can feel, I can feel, I can feel.""
So break it up, oh now I'm coming with you
Break it up, now I'm gonna go
Break it up, oh, feel me, I'm coming
Break it up, break it up, break it up
Break it up, break it up, break it up
Oh, break it up, break it up, break it up
Break it up, break it up, break it on up
Break it up, break it on up, up, up
Break it, break it, break it, break it
Break it on up, break it up
"
9,Patti Smith,Elegie,"I just don't know what to do tonight
My head is aching as I drink and breathe
Memory falls like cream in my bones
Moving on my own
There must be something I can dream tonight
The air is filled with the moves of you
All the fire is frozen yet still I have the will, ooh, ah
Trumpets, violins, I hear them in the distance
And my skin emits a ray
But I think it's sad, it's much too bad
"
10,Patti Smith,My Generation,"People try to put us down (Talkin' 'bout my generation)
Just because we g-g-g-get around (Talkin' 'bout my generation)
I don't need their fucking shit (Talkin' 'bout my generation)
I hope I die because of it (Talkin' 'bout my generation)

Why don't you all fade away (Talkin' 'bout my generation)
And don't try to dig what we all s-s-say (Talkin' 'bout my generation)
I'm not trying to cause a big sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my generation (Talkin' 'bout my generation)
My generation, baby
My generation, baby
John Cale
Bababababababababa

My generation, baby
My generation, baby
I'm not trying to cause a b-big s-s-sensation (Talkin' 'bout my generation)
I'm just talkin' 'bout my g-g-generation (Talkin' 'bout my generation)
My generation, baby
My generation, baby
Oh, so young
I'm so goddamn young
I'm so young
I'm so goddamn young
Oh, so young
I'm so goddamn young
"
