,Artist,Song,Lyrics
0,Jim Morrison,The Ghost Song,"Awake.
Shake dreams from your hair
my pretty child, my sweet one.
Choose the day and choose the sign of your day
the day's divinity
First thing you see.
A vast radiant beach and cooled jeweled moon
Couples naked race down by its quiet side
And we laugh like soft, mad children
Smug in the wooly cotton brains of infancy
The music and voices are all around us.
Choose they croon the Ancient Ones
the time has come again
choose now, they croon
beneath the moon
beside an ancient lake
Enter again the sweet forest
Enter the hot dream
Come with us
everything is broken up and dances.
Indians scattered,
On dawn's highway bleeding
Ghosts crowd the young child’s
Fragile eggshell mind
We have assembled inside,
This ancient and insane theater
To propagate our lust for life,
And flee the swarming wisdom of the streets.
The barns have stormed
The windows kept,
And only one of all the rest
To dance and save us
From the divine mockery of words,
Music inflames temperament.
Ooh great creator of being
Grant us one more hour,
To perform our art
And perfect our lives.
We need great golden copulations,
When the true kings murderers
Are allowed to roam free,
A thousand magicians arise in the land
Where are the feast we are promised?
One more thing
Thank you oh lord
For the white blind light
Thank you oh lord
For the white blind light
A city rises from the sea
I had a splitting headache
"
1,Jim Morrison,A Feast Of Friends,"Wow, I'm sick of doubt
Live in the light of certain south
Cruel bindings
The servants have the power
Dog-men and their mean women
Pulling poor blankets over our sailors
I'm sick of dour faces
Staring at me from the TV tower
I want roses in my garden bower, dig?
Royal babies, rubies
Must now replace aborted strangers in the mud
These mutants, blood-meal for the plant that's plowed
They are waiting to take us into the severed garden
Do you know how pale and wanton thrillful
Comes death on a strange hour?
Unannounced, unplanned for
Like a scaring over-friendly guest you've brought to bed
Death makes angels of us all
And gives us wings
Where we had shoulders
Smooth as raven's claws
No more money, no more fancy dress
This other kingdom seems by far the best
Until its other jaw reveals incest
And loose obedience to a vegetable law
I will not go
Prefer a Feast of Friends
"
2,Jim Morrison,An American Prayer,"Do you know the warm progress under the stars?
Do you know we exist?
Have you forgotten the keys to the kingdom?
Have you been born yet, and are you alive?
Let's reinvent the gods, all the myths of the ages
Celebrate symbols from deep elder forests
Have you forgotten the lessons of the ancient war?
We need great golden copulations
The fathers are cackling in trees of the forest
Our mother is dead in the sea
Do you know we are being lead to slaughter by placid admirals
And that fat slow generals are getting obscene on young blood?
Do you know we are ruled by T.V.?
The moon is a dry blood beast
Guerrilla bands are rolling numbers
In the next block of green vine
Amassing for warfare on innocent herdsman who are just dying
O' great creator of being, grant us one more hour to perform our art and perfect our lives
The moths and atheists are doubly divine and dying
We live, we die, and death not ends it
Journey we more into the Nightmare
Cling to life our passioned flower
Cling to Cunts & Cocks of despair
We got our final vision by clap
Columbus's groin got filled with green death
I touched her thigh and death smiled
We have assembled inside this ancient and insane theatre
To propagate our lust for life and flee the swarming wisdom of the streets
The barns are stormed
The windows kept
And only one of all the rest to dance and save us with the divine mockery of words
Music inflames temperament
When the true King's murderers are allowed to roam free
A 1000 Magicians arise in the land
Where are the feasts we are promised?
"
3,Jim Morrison,Stoned Immaculate,"I'll tell you this...
No eternal reward will forgive us now
For wasting the dawn

Back in those days everything was simpler and more confused
One summer night, going to the pier
I ran into two young girls
The blonde one was called Freedom
The dark one, Enterprise
We talked and they told me this story
Now listen to this...
I'll tell you about Texas radio and the big beat
Soft driven, slow and mad
Like some new language
Reaching your head with the cold, sudden fury of a divine messenger
Let me tell you about heartache and the loss of god
Wandering, wandering in hopeless night
Out here in the perimeter there are no stars
Out here we IS stoned
"
4,Jim Morrison,Lament,"Lament for my cock
Sore and crucified
I seek to know you
Acquiring soulful wisdom
You can open walls of mystery
Strip show
How to acquire death in the morning show
TV death which the child absorbs
Deathwell mystery which makes me write
Slow train, the death of my cock gives life
Forgive the poor old people who gave us entry
Taught us God in the child's prayer in the night
Guitar player
Ancient wise satyr
Sing your ode to my cock
Caress its lament
Stiffen and guide us, we frozen
Lost cells
The knowledge of cancer
To speak to the heart
And give the great gift
Words, power, trance
This stable friend and the beast of his zoo
Wild haired chicks
Women flowering in their summit
Monsters of skin
Each color connects
to create the boat
which rocks the race
Could any hell be more horrible
Than now and real?
I pressed her thigh and death smiled
Death, old friend
Death and my cock are the world
I can forgive my injuries in the name of
Wisdom, luxury, romance
Sentence upon sentence
Words are healing lament
For the death of my cock's spirit
Has no meaning in the soft fire
Words got me the wound and will get me well
If you believe it
All join now and lament for the death of my cock
A tongue of knowledge in the feathered night
Boys get crazy in the head and suffer
"
5,Jim Morrison,Newborn Awakening,"Indians scattered on dawn's highway bleeding
Ghosts crowd the young child's fragile egg-shell mind
Blood in the streets
In the town of New Haven
Blood stains the roofs
And the palm trees of Venice
Blood in my love
In the terrible summer
Bloody red sun of
Phantastic L.A
Blood screams her brain
As they chop off her fingers
Blood will be born
In the birth of a nation
Blood is the rose of
Mysterious union
Blood on the rise
It's following me
Indian, Indian
What did you die for?
Indian says nothing at all
Gently they stir
Gently rise
The dead are new-born awakening
With ravaged limbs
And wet souls
Gently they sigh
In rapt funeral amazement
Who called these dead to dance?
Was it the young woman
Learning to play the ""Ghost Song""
In her baby grand
Was it the wilderness children?
Was it the Ghost-God himself
Stuttering, cheering
Chatting blindly?
I called you up to
Annoint the earth
I called you to announce
Sadness falling like
Burned skin
I called you to wish you well
To glory in self like a new monster
And now I call on you to prayEmbedShare URLCopyEmbedCopy"
6,Jim Morrison,The Movie,"The movie will begin in five moments
The mindless voice announced
All those unseated will await the next show
We filed slowly, languidly into the hall
The auditorium was vast and silent
As we seated and were darkened
The voice continued:
The program for this evening is not new
You've seen this entertainment through and through
You've seen your birth, your life and death
You might recall all of the rest
Did you have a good world when you died?
Enough to base a movie on?
I'm getting out of here
Where are you going?
To the other side of morning
Please don't chase the clouds, pagodas
Her cunt gripped him like a warm friendly hand
It's all right, all your friends are here
When can I meet them?
After you've eaten
I'm not hungry
Uh, we meant beaten
Silver stream, silvery scream
Oooh, impossible concentrationEmbedShare URLCopyEmbedCopy"
7,Jim Morrison,Roadhouse Blues (Live),"Ladies and gentlemen
From Los Angeles California
The Doors
Ah Keep your eyes on the road
Your hands upon the wheel
Keep your eyes on the road
Your hands upon the wheel
Yeah, we're going to the roadhouse
Gonna have a real good-time
Yeah, the back of the roadhouse
They've got some bungalows
Yeah, the back of the roadhouse
They've got some bungalows
They dance for the people
Who like to go down slow
Let it roll, baby, roll
Let it roll, baby, roll
Let it roll, baby, roll
Let it roll, all night long
Do it, Robby, Do it!
You gotta roll, roll, roll
You gotta thrill my soul, alright
Roll, roll, roll, roll-a
Thrill my soul
*improv*
Ashen-Lady
Ashen-Lady
Give up your vows
Give up your vows
Save our city
Save our city
Ah, right now
Well, I woke up this morning
And I got myself a beer
Well, I woke up this morning
And I got myself a beer
The future's uncertain
And the end is always near
Let it roll, baby, roll
Let it roll, baby, roll
Let it roll, baby, roll
Let it roll, all night long
...Alright! Alright! Alright!
Hey, listen! Listen! Listen, man! listen, man!
I don't know how many you people believe in astrology...
Yeah, that's right...that's right, baby, I...I am a
Sagittarius
The most philosophical of all the signs
But anyway, I don't believe in it
I think it's a bunch of bullshit, myself
But I tell you this, man, I tell you this
I don't know what's gonna happen, man, but I wanna have
My kicks before the whole shithouse goes up in flames
Alright!EmbedShare URLCopyEmbedCopy"
8,Jim Morrison,Bird of Prey,"Bird of prey
Bird of prey
Flying high
Flying high
In the summer sky
Bird of prey
Bird of prey
Flying high
Flying high
Gently pass on by
Bird of prey
Bird of prey
Flying high
Flying high
Am I going to die
Bird of prey
Bird of prey
Flying high
Flying high
"
9,Jim Morrison,Freedom Exists,"Did you know freedom exists
In a school book?
Did you know madmen
Are running our prison
Within a jail, within a gaol
Within a white free protestant
Maelstrom
We're perched headlong
On the edge of boredom
We're reaching for death
On the end of a candle
We're trying for something
That's already found usEmbedShare URLCopyEmbedCopy"
